Date,Time,Bus_Stop_Name,Bus_Stop_ID,Route_ID,Passengers_Boarded,Passengers_Left_Behind,Bus_Capacity,Occupancy_Percent,Avg_Waiting_Time_Mins,Traffic_Congestion_Level,Weather,Special_Events_Nearby,Recommended_Buses
2024-10-03,11:00,Gottigere,GOT401,365J,15,0,60,25,2,Low,Clear,0,1
2024-10-03,11:00,Kempegowda Bus Station (Majestic),KBS001,365J,20,0,60,33,5,Low,Clear,0,1
2024-10-03,11:00,Koli Farm Gate,KFG301,365J,12,0,60,21,6,Low,Clear,0,1
2024-10-03,11:00,K.R. Circle,KRC201,365J,23,0,60,38,3,Low,Clear,0,1
2024-10-03,11:00,Maharani College,MHC101,365J,16,0,60,27,7,Low,Clear,0,1
2024-10-03,12:00,AMC College,AMC601,365J,14,0,60,23,6,Medium,Clear,0,1
2024-10-03,12:00,Bannerghatta Circle,BGC501,365J,15,0,60,26,5,Medium,Clear,0,1
2024-10-03,12:00,Gottigere,GOT401,365J,15,0,60,24,7,Medium,Clear,0,1
2024-10-03,12:00,Kempegowda Bus Station (Majestic),KBS001,365J,17,0,60,29,5,Medium,Clear,0,1
2024-10-03,12:00,Koli Farm Gate,KFG301,365J,16,0,60,26,11,Medium,Clear,0,1
2024-10-03,12:00,K.R. Circle,KRC201,365J,17,0,60,28,7,Medium,Clear,0,1
2024-10-03,12:00,Maharani College,MHC101,365J,14,0,60,23,6,Medium,Clear,0,1
2024-10-03,13:00,AMC College,AMC601,365J,12,0,60,20,6,Medium,Clear,0,1
2024-10-03,13:00,Bannerghatta Circle,BGC501,365J,10,0,60,17,4,Medium,Clear,0,1
2024-10-03,13:00,Gottigere,GOT401,365J,11,0,60,18,6,Medium,Clear,0,1
2024-10-03,13:00,Kempegowda Bus Station (Majestic),KBS001,365J,17,0,60,28,5,Medium,Clear,0,1
2024-10-03,13:00,Koli Farm Gate,KFG301,365J,8,0,60,13,7,Medium,Clear,0,1
2024-10-03,13:00,K.R. Circle,KRC201,365J,17,0,60,28,7,Medium,Clear,0,1
2024-10-03,13:00,Maharani College,MHC101,365J,11,0,60,19,10,Medium,Clear,0,1
2024-10-03,14:00,AMC College,AMC601,365J,18,0,60,31,3,Low,Clear,0,1
2024-10-03,14:00,Bannerghatta Circle,BGC501,365J,19,0,60,32,4,Low,Clear,0,1
2024-10-03,14:00,Gottigere,GOT401,365J,12,0,60,20,4,Low,Clear,0,1
2024-10-03,14:00,Kempegowda Bus Station (Majestic),KBS001,365J,22,0,60,37,2,Low,Clear,0,1
2024-10-03,14:00,Koli Farm Gate,KFG301,365J,10,0,60,17,6,Low,Clear,0,1
2024-10-03,14:00,K.R. Circle,KRC201,365J,15,0,60,25,6,Low,Clear,0,1
2024-10-03,14:00,Maharani College,MHC101,365J,19,0,60,31,3,Low,Clear,0,1
2024-10-03,15:00,AMC College,AMC601,365J,18,0,60,30,9,Medium,Clear,0,1
2024-10-03,15:00,Bannerghatta Circle,BGC501,365J,20,0,60,33,6,Medium,Clear,0,1
2024-10-03,15:00,Gottigere,GOT401,365J,16,0,60,27,8,Medium,Clear,0,1
2024-10-03,15:00,Kempegowda Bus Station (Majestic),KBS001,365J,20,0,60,33,8,Medium,Clear,0,1
2024-10-03,15:00,Koli Farm Gate,KFG301,365J,21,0,60,35,6,Medium,Clear,0,1
2024-10-03,15:00,K.R. Circle,KRC201,365J,31,0,60,51,3,Medium,Clear,0,1
2024-10-03,15:00,Maharani College,MHC101,365J,17,0,60,28,8,Medium,Clear,0,1
2024-10-03,16:00,AMC College,AMC601,365J,31,0,60,52,6,Medium,Clear,0,1
2024-10-03,16:00,Bannerghatta Circle,BGC501,365J,29,0,60,48,8,Medium,Clear,0,1
2024-10-03,16:00,Gottigere,GOT401,365J,20,0,60,33,5,Medium,Clear,0,1
2024-10-03,16:00,Kempegowda Bus Station (Majestic),KBS001,365J,35,0,60,59,6,Medium,Clear,0,1
2024-10-03,16:00,Koli Farm Gate,KFG301,365J,24,0,60,40,9,Medium,Clear,0,1
2024-10-03,16:00,K.R. Circle,KRC201,365J,41,0,60,69,5,Medium,Clear,0,1
2024-10-03,16:00,Maharani College,MHC101,365J,29,0,60,49,5,Medium,Clear,0,1
2024-10-03,17:00,AMC College,AMC601,365J,39,0,60,65,12,High,Clear,0,1
2024-10-03,17:00,Bannerghatta Circle,BGC501,365J,33,0,60,55,11,High,Clear,0,1
2024-10-03,17:00,Gottigere,GOT401,365J,36,0,60,61,9,High,Clear,0,1
2024-10-03,17:00,Kempegowda Bus Station (Majestic),KBS001,365J,48,0,60,40,11,High,Clear,0,2
2024-10-03,17:00,Koli Farm Gate,KFG301,365J,33,0,60,55,8,High,Clear,0,1
2024-10-03,17:00,K.R. Circle,KRC201,365J,55,0,60,46,13,High,Clear,0,2
2024-10-03,17:00,Maharani College,MHC101,365J,43,0,60,72,11,High,Clear,0,1
2024-10-03,18:00,AMC College,AMC601,365J,37,0,60,62,8,High,Clear,0,1
2024-10-03,18:00,Bannerghatta Circle,BGC501,365J,49,0,60,41,11,High,Clear,0,2
2024-10-03,18:00,Gottigere,GOT401,365J,46,0,60,76,8,High,Clear,1,1
2024-10-03,18:00,Kempegowda Bus Station (Majestic),KBS001,365J,56,0,60,47,11,High,Clear,0,2
2024-10-03,18:00,Koli Farm Gate,KFG301,365J,38,0,60,63,12,High,Clear,0,1
2024-10-03,18:00,K.R. Circle,KRC201,365J,54,0,60,45,11,High,Clear,0,2
2024-10-03,18:00,Maharani College,MHC101,365J,48,0,60,40,12,High,Clear,0,2
2024-10-03,19:00,AMC College,AMC601,365J,37,0,60,62,14,High,Clear,0,1
2024-10-03,19:00,Bannerghatta Circle,BGC501,365J,36,0,60,60,9,High,Clear,0,1
2024-10-03,19:00,Gottigere,GOT401,365J,33,0,60,55,6,High,Clear,0,1
2024-10-03,19:00,Kempegowda Bus Station (Majestic),KBS001,365J,41,0,60,68,10,High,Clear,0,1
2024-10-03,19:00,Koli Farm Gate,KFG301,365J,38,0,60,63,12,High,Clear,0,1
2024-10-03,19:00,K.R. Circle,KRC201,365J,42,0,60,71,12,High,Clear,0,1
2024-10-03,19:00,Maharani College,MHC101,365J,51,0,60,42,8,High,Clear,0,2
2024-10-03,20:00,AMC College,AMC601,365J,25,0,60,42,11,High,Clear,0,1
2024-10-03,20:00,Bannerghatta Circle,BGC501,365J,32,0,60,53,10,High,Clear,0,1
2024-10-03,20:00,Gottigere,GOT401,365J,21,0,60,34,13,High,Clear,0,1
2024-10-03,20:00,Kempegowda Bus Station (Majestic),KBS001,365J,34,0,60,56,12,High,Clear,0,1
2024-10-03,20:00,Koli Farm Gate,KFG301,365J,26,0,60,44,13,High,Clear,0,1
2024-10-03,20:00,K.R. Circle,KRC201,365J,38,0,60,63,14,High,Clear,0,1
2024-10-03,20:00,Maharani College,MHC101,365J,27,0,60,45,10,High,Clear,0,1
2024-10-03,21:00,AMC College,AMC601,365J,21,0,60,35,4,Low,Clear,0,1
2024-10-03,21:00,Bannerghatta Circle,BGC501,365J,23,0,60,38,5,Low,Clear,0,1
2024-10-03,21:00,Gottigere,GOT401,365J,17,0,60,28,2,Low,Clear,0,1
2024-10-03,21:00,Kempegowda Bus Station (Majestic),KBS001,365J,25,0,60,41,6,Low,Clear,0,1
2024-10-03,21:00,Koli Farm Gate,KFG301,365J,17,0,60,28,3,Low,Clear,0,1
2024-10-03,21:00,K.R. Circle,KRC201,365J,25,0,60,42,4,Low,Clear,0,1
2024-10-03,21:00,Maharani College,MHC101,365J,20,0,60,33,8,Low,Clear,0,1
2024-10-03,22:00,AMC College,AMC601,365J,14,0,60,23,2,Low,Clear,0,1
2024-10-03,22:00,Bannerghatta Circle,BGC501,365J,17,0,60,29,2,Low,Clear,0,1
2024-10-03,22:00,Gottigere,GOT401,365J,15,0,60,25,2,Low,Clear,0,1
2024-10-03,22:00,Kempegowda Bus Station (Majestic),KBS001,365J,20,0,60,33,4,Low,Clear,0,1
2024-10-03,22:00,Koli Farm Gate,KFG301,365J,11,0,60,19,4,Low,Clear,0,1
2024-10-03,22:00,K.R. Circle,KRC201,365J,20,0,60,33,4,Low,Clear,0,1
2024-10-03,22:00,Maharani College,MHC101,365J,17,0,60,28,2,Low,Clear,0,1
2024-10-04,05:00,AMC College,AMC601,365J,16,0,60,27,3,Medium,Cloudy,0,1
2024-10-04,05:00,Bannerghatta Circle,BGC501,365J,16,0,60,27,4,Medium,Cloudy,0,1
2024-10-04,05:00,Gottigere,GOT401,365J,14,0,60,23,6,Medium,Cloudy,0,1
2024-10-04,05:00,Kempegowda Bus Station (Majestic),KBS001,365J,19,0,60,32,6,Medium,Cloudy,0,1
2024-10-04,05:00,Koli Farm Gate,KFG301,365J,15,0,60,26,5,Medium,Cloudy,0,1
2024-10-04,05:00,K.R. Circle,KRC201,365J,19,0,60,31,5,Medium,Cloudy,0,1
2024-10-04,05:00,Maharani College,MHC101,365J,18,0,60,30,6,Medium,Cloudy,0,1
2024-10-04,06:00,AMC College,AMC601,365J,23,0,60,38,3,Low,Cloudy,0,1
2024-10-04,06:00,Bannerghatta Circle,BGC501,365J,16,0,60,27,3,Low,Cloudy,0,1
2024-10-04,06:00,Gottigere,GOT401,365J,16,0,60,27,2,Low,Cloudy,0,1
2024-10-04,06:00,Kempegowda Bus Station (Majestic),KBS001,365J,26,0,60,43,4,Low,Cloudy,0,1
2024-10-04,06:00,Koli Farm Gate,KFG301,365J,26,0,60,43,2,Low,Cloudy,0,1
2024-10-04,06:00,K.R. Circle,KRC201,365J,30,0,60,50,5,Low,Cloudy,0,1
2024-10-04,06:00,Maharani College,MHC101,365J,21,0,60,36,2,Low,Cloudy,0,1
2024-10-04,07:00,AMC College,AMC601,365J,33,0,60,55,4,Medium,Cloudy,0,1
2024-10-04,07:00,Bannerghatta Circle,BGC501,365J,30,0,60,51,3,Medium,Cloudy,0,1
2024-10-04,07:00,Gottigere,GOT401,365J,24,0,60,40,7,Medium,Cloudy,0,1
2024-10-04,07:00,Kempegowda Bus Station (Majestic),KBS001,365J,34,0,60,56,10,Medium,Cloudy,0,1
2024-10-04,07:00,Koli Farm Gate,KFG301,365J,38,0,60,64,7,Medium,Cloudy,0,1
2024-10-04,07:00,K.R. Circle,KRC201,365J,44,0,60,73,6,Medium,Cloudy,0,1
2024-10-04,07:00,Maharani College,MHC101,365J,39,0,60,66,8,Medium,Cloudy,0,1
2024-10-04,08:00,AMC College,AMC601,365J,36,0,60,60,10,High,Cloudy,0,1
2024-10-04,08:00,Bannerghatta Circle,BGC501,365J,38,0,60,63,9,High,Cloudy,0,1
2024-10-04,08:00,Gottigere,GOT401,365J,27,0,60,45,14,High,Cloudy,0,1
2024-10-04,08:00,Kempegowda Bus Station (Majestic),KBS001,365J,48,0,60,40,12,High,Cloudy,0,2
2024-10-04,08:00,Koli Farm Gate,KFG301,365J,37,0,60,61,11,High,Cloudy,0,1
2024-10-04,08:00,K.R. Circle,KRC201,365J,55,0,60,46,11,High,Cloudy,0,2
2024-10-04,08:00,Maharani College,MHC101,365J,32,0,60,54,10,High,Cloudy,0,1
2024-10-04,09:00,AMC College,AMC601,365J,25,0,60,41,9,High,Cloudy,0,1
2024-10-04,09:00,Bannerghatta Circle,BGC501,365J,32,0,60,53,11,High,Cloudy,0,1
2024-10-04,09:00,Gottigere,GOT401,365J,30,0,60,51,8,High,Cloudy,0,1
2024-10-04,09:00,Kempegowda Bus Station (Majestic),KBS001,365J,39,0,60,66,13,High,Cloudy,0,1
2024-10-04,09:00,Koli Farm Gate,KFG301,365J,32,0,60,53,12,High,Cloudy,0,1
2024-10-04,09:00,K.R. Circle,KRC201,365J,36,0,60,61,11,High,Cloudy,0,1
2024-10-04,09:00,Maharani College,MHC101,365J,38,0,60,63,11,High,Cloudy,0,1
2024-10-04,10:00,AMC College,AMC601,365J,23,0,60,38,3,Low,Cloudy,0,1
2024-10-04,10:00,Bannerghatta Circle,BGC501,365J,21,0,60,35,3,Low,Cloudy,0,1
2024-10-04,10:00,Gottigere,GOT401,365J,22,0,60,37,6,Low,Cloudy,0,1
2024-10-04,10:00,Kempegowda Bus Station (Majestic),KBS001,365J,25,0,60,42,6,Low,Cloudy,0,1
2024-10-04,10:00,Koli Farm Gate,KFG301,365J,20,0,60,34,2,Low,Cloudy,0,1
2024-10-04,10:00,K.R. Circle,KRC201,365J,30,0,60,50,4,Low,Cloudy,0,1
2024-10-04,10:00,Maharani College,MHC101,365J,27,0,60,45,2,Low,Cloudy,0,1
2024-10-04,11:00,AMC College,AMC601,365J,13,0,60,22,4,Low,Cloudy,0,1
2024-10-04,11:00,Bannerghatta Circle,BGC501,365J,14,0,60,24,3,Low,Cloudy,0,1
2024-10-04,11:00,Gottigere,GOT401,365J,14,0,60,23,7,Low,Cloudy,0,1
2024-10-04,11:00,Kempegowda Bus Station (Majestic),KBS001,365J,18,0,60,30,2,Low,Cloudy,0,1
2024-10-04,11:00,Koli Farm Gate,KFG301,365J,13,0,60,22,5,Low,Cloudy,0,1
2024-10-04,11:00,K.R. Circle,KRC201,365J,17,0,60,28,4,Low,Cloudy,0,1
2024-10-04,11:00,Maharani College,MHC101,365J,22,0,60,36,4,Low,Cloudy,0,1
2024-10-04,12:00,AMC College,AMC601,365J,11,0,60,19,5,Low,Cloudy,0,1
2024-10-04,12:00,Bannerghatta Circle,BGC501,365J,13,0,60,21,8,Low,Cloudy,0,1
2024-10-04,12:00,Gottigere,GOT401,365J,14,0,60,24,2,Low,Cloudy,0,1
2024-10-04,12:00,Kempegowda Bus Station (Majestic),KBS001,365J,21,0,60,35,4,Low,Cloudy,0,1
2024-10-04,12:00,Koli Farm Gate,KFG301,365J,12,0,60,20,4,Low,Cloudy,0,1
2024-10-04,12:00,K.R. Circle,KRC201,365J,17,0,60,28,2,Low,Cloudy,0,1
2024-10-04,12:00,Maharani College,MHC101,365J,13,0,60,22,7,Low,Cloudy,0,1
2024-10-04,13:00,AMC College,AMC601,365J,15,0,60,25,4,Low,Cloudy,0,1
2024-10-04,13:00,Bannerghatta Circle,BGC501,365J,14,0,60,24,5,Low,Cloudy,0,1
2024-10-04,13:00,Gottigere,GOT401,365J,13,0,60,22,4,Low,Cloudy,0,1
2024-10-04,13:00,Kempegowda Bus Station (Majestic),KBS001,365J,19,0,60,31,5,Low,Cloudy,0,1
2024-10-04,13:00,Koli Farm Gate,KFG301,365J,13,0,60,22,5,Low,Cloudy,0,1
2024-10-04,13:00,K.R. Circle,KRC201,365J,16,0,60,27,3,Low,Cloudy,0,1
2024-10-04,13:00,Maharani College,MHC101,365J,10,0,60,17,5,Low,Cloudy,0,1
2024-10-04,14:00,AMC College,AMC601,365J,16,0,60,27,4,Low,Cloudy,0,1
2024-10-04,14:00,Bannerghatta Circle,BGC501,365J,15,0,60,26,4,Low,Cloudy,0,1
2024-10-04,14:00,Gottigere,GOT401,365J,12,0,60,20,4,Low,Cloudy,0,1
2024-10-04,14:00,Kempegowda Bus Station (Majestic),KBS001,365J,16,0,60,27,3,Low,Cloudy,0,1
2024-10-04,14:00,Koli Farm Gate,KFG301,365J,14,0,60,23,4,Low,Cloudy,0,1
2024-10-04,14:00,K.R. Circle,KRC201,365J,23,0,60,38,4,Low,Cloudy,0,1
2024-10-04,14:00,Maharani College,MHC101,365J,19,0,60,31,5,Low,Cloudy,0,1
2024-10-04,15:00,AMC College,AMC601,365J,21,0,60,35,7,Medium,Cloudy,0,1
2024-10-04,15:00,Bannerghatta Circle,BGC501,365J,18,0,60,31,8,Medium,Cloudy,0,1
2024-10-04,15:00,Gottigere,GOT401,365J,19,0,60,32,6,Medium,Cloudy,0,1
2024-10-04,15:00,Kempegowda Bus Station (Majestic),KBS001,365J,22,0,60,36,7,Medium,Cloudy,0,1
2024-10-04,15:00,Koli Farm Gate,KFG301,365J,20,0,60,34,6,Medium,Cloudy,0,1
2024-10-04,15:00,K.R. Circle,KRC201,365J,23,0,60,39,8,Medium,Cloudy,0,1
2024-10-04,15:00,Maharani College,MHC101,365J,20,0,60,34,8,Medium,Cloudy,0,1
2024-10-04,16:00,AMC College,AMC601,365J,29,0,60,48,5,Low,Cloudy,0,1
2024-10-04,16:00,Bannerghatta Circle,BGC501,365J,31,0,60,52,3,Low,Cloudy,0,1
2024-10-04,16:00,Gottigere,GOT401,365J,22,0,60,37,5,Low,Cloudy,0,1
2024-10-04,16:00,Kempegowda Bus Station (Majestic),KBS001,365J,30,0,60,51,5,Low,Cloudy,0,1
2024-10-04,16:00,Koli Farm Gate,KFG301,365J,25,0,60,42,2,Low,Cloudy,0,1
2024-10-04,16:00,K.R. Circle,KRC201,365J,22,0,60,37,6,Low,Cloudy,0,1
2024-10-04,16:00,Maharani College,MHC101,365J,32,0,60,53,6,Low,Cloudy,0,1
2024-10-04,17:00,AMC College,AMC601,365J,37,0,60,61,12,High,Cloudy,0,1
2024-10-04,17:00,Bannerghatta Circle,BGC501,365J,33,0,60,55,10,High,Cloudy,0,1
2024-10-04,17:00,Gottigere,GOT401,365J,35,0,60,58,12,High,Cloudy,0,1
2024-10-04,17:00,Kempegowda Bus Station (Majestic),KBS001,365J,34,0,60,56,9,High,Cloudy,0,1
2024-10-04,17:00,Koli Farm Gate,KFG301,365J,34,0,60,56,8,High,Cloudy,0,1
2024-10-04,17:00,K.R. Circle,KRC201,365J,42,0,60,69,10,High,Cloudy,0,1
2024-10-04,17:00,Maharani College,MHC101,365J,41,0,60,69,10,High,Cloudy,0,1
2024-10-04,18:00,AMC College,AMC601,365J,39,0,60,64,7,Medium,Cloudy,0,1
2024-10-04,18:00,Bannerghatta Circle,BGC501,365J,39,0,60,65,7,Medium,Cloudy,0,1
2024-10-04,18:00,Gottigere,GOT401,365J,31,0,60,52,8,Medium,Cloudy,0,1
2024-10-04,18:00,Kempegowda Bus Station (Majestic),KBS001,365J,47,0,60,78,7,Medium,Cloudy,0,1
2024-10-04,18:00,Koli Farm Gate,KFG301,365J,39,0,60,64,7,Medium,Cloudy,0,1
2024-10-04,18:00,K.R. Circle,KRC201,365J,52,0,60,43,7,Medium,Cloudy,0,2
2024-10-04,18:00,Maharani College,MHC101,365J,46,0,60,77,9,Medium,Cloudy,0,1
2024-10-04,19:00,AMC College,AMC601,365J,32,0,60,54,10,High,Cloudy,0,1
2024-10-04,19:00,Bannerghatta Circle,BGC501,365J,33,0,60,56,11,High,Cloudy,0,1
2024-10-04,19:00,Gottigere,GOT401,365J,29,0,60,49,12,High,Cloudy,0,1
2024-10-04,19:00,Kempegowda Bus Station (Majestic),KBS001,365J,37,0,60,62,14,High,Cloudy,0,1
2024-10-04,19:00,Koli Farm Gate,KFG301,365J,22,0,60,36,11,High,Cloudy,0,1
2024-10-04,19:00,K.R. Circle,KRC201,365J,49,0,60,41,12,High,Cloudy,0,2
2024-10-04,19:00,Maharani College,MHC101,365J,50,0,60,42,12,High,Cloudy,0,2
2024-10-04,20:00,AMC College,AMC601,365J,29,0,60,48,9,High,Cloudy,0,1
2024-10-04,20:00,Bannerghatta Circle,BGC501,365J,28,0,60,46,14,High,Cloudy,0,1
2024-10-04,20:00,Gottigere,GOT401,365J,24,0,60,39,13,High,Cloudy,0,1
2024-10-04,20:00,Kempegowda Bus Station (Majestic),KBS001,365J,35,0,60,58,13,High,Cloudy,0,1
2024-10-04,20:00,Koli Farm Gate,KFG301,365J,25,0,60,42,10,High,Cloudy,0,1
2024-10-04,20:00,K.R. Circle,KRC201,365J,35,0,60,58,11,High,Cloudy,0,1
2024-10-04,20:00,Maharani College,MHC101,365J,24,0,60,39,8,High,Cloudy,0,1
2024-10-04,21:00,AMC College,AMC601,365J,17,0,60,28,8,Medium,Cloudy,0,1
2024-10-04,21:00,Bannerghatta Circle,BGC501,365J,23,0,60,39,9,Medium,Cloudy,0,1
2024-10-04,21:00,Gottigere,GOT401,365J,15,0,60,25,5,Medium,Cloudy,0,1
2024-10-04,21:00,Kempegowda Bus Station (Majestic),KBS001,365J,17,0,60,29,6,Medium,Cloudy,0,1
2024-10-04,21:00,Koli Farm Gate,KFG301,365J,16,0,60,27,9,Medium,Cloudy,0,1
2024-10-04,21:00,K.R. Circle,KRC201,365J,27,0,60,46,6,Medium,Cloudy,0,1
2024-10-04,21:00,Maharani College,MHC101,365J,20,0,60,34,9,Medium,Cloudy,0,1
2024-10-04,22:00,AMC College,AMC601,365J,15,0,60,25,4,Medium,Cloudy,0,1
2024-10-04,22:00,Bannerghatta Circle,BGC501,365J,11,0,60,18,9,Medium,Cloudy,0,1
2024-10-04,22:00,Gottigere,GOT401,365J,12,0,60,20,10,Medium,Cloudy,0,1
2024-10-04,22:00,Kempegowda Bus Station (Majestic),KBS001,365J,15,0,60,25,10,Medium,Cloudy,0,1
2024-10-04,22:00,Koli Farm Gate,KFG301,365J,10,0,60,17,7,Medium,Cloudy,0,1
2024-10-04,22:00,K.R. Circle,KRC201,365J,12,0,60,19,2,Medium,Cloudy,0,1
2024-10-04,22:00,Maharani College,MHC101,365J,14,0,60,23,6,Medium,Cloudy,0,1
2024-10-05,05:00,AMC College,AMC601,365J,14,0,60,24,5,Medium,Clear,0,1
2024-10-05,05:00,Bannerghatta Circle,BGC501,365J,19,0,60,31,3,Medium,Clear,0,1
2024-10-05,05:00,Gottigere,GOT401,365J,16,0,60,27,8,Medium,Clear,0,1
2024-10-05,05:00,Kempegowda Bus Station (Majestic),KBS001,365J,19,0,60,32,7,Medium,Clear,0,1
2024-10-05,05:00,Koli Farm Gate,KFG301,365J,20,0,60,33,8,Medium,Clear,0,1
2024-10-05,05:00,K.R. Circle,KRC201,365J,23,0,60,39,6,Medium,Clear,0,1
2024-10-05,05:00,Maharani College,MHC101,365J,14,0,60,24,4,Medium,Clear,0,1
2024-10-05,06:00,AMC College,AMC601,365J,24,0,60,40,7,Low,Clear,0,1
2024-10-05,06:00,Bannerghatta Circle,BGC501,365J,28,0,60,47,6,Low,Clear,0,1
2024-10-05,06:00,Gottigere,GOT401,365J,22,0,60,36,3,Low,Clear,0,1
2024-10-05,06:00,Kempegowda Bus Station (Majestic),KBS001,365J,27,0,60,46,3,Low,Clear,0,1
2024-10-05,06:00,Koli Farm Gate,KFG301,365J,22,0,60,36,4,Low,Clear,0,1
2024-10-05,06:00,K.R. Circle,KRC201,365J,29,0,60,48,6,Low,Clear,0,1
2024-10-05,06:00,Maharani College,MHC101,365J,24,0,60,39,2,Low,Clear,0,1
2024-10-05,07:00,AMC College,AMC601,365J,33,0,60,54,12,High,Clear,0,1
2024-10-05,07:00,Bannerghatta Circle,BGC501,365J,36,0,60,60,9,High,Clear,0,1
2024-10-05,07:00,Gottigere,GOT401,365J,24,0,60,40,10,High,Clear,0,1
2024-10-05,07:00,Kempegowda Bus Station (Majestic),KBS001,365J,50,0,60,42,11,High,Clear,0,2
2024-10-05,07:00,Koli Farm Gate,KFG301,365J,34,0,60,56,14,High,Clear,0,1
2024-10-05,07:00,K.R. Circle,KRC201,365J,38,0,60,63,9,High,Clear,0,1
2024-10-05,07:00,Maharani College,MHC101,365J,40,0,60,67,12,High,Clear,0,1
2024-10-05,08:00,AMC College,AMC601,365J,34,0,60,56,10,High,Clear,0,1
2024-10-05,08:00,Bannerghatta Circle,BGC501,365J,33,0,60,54,11,High,Clear,0,1
